knn0,knn1
6.665669822399813,6.2787063183108
6.254871169566061,8.01784475780227
4.818690877483306,3.4508849296717443
5.69383599487905,5.748862376481917
5.712163908135427,5.038464707223721
7.1535000378732425,8.009276392850312
4.89610457695851,5.570219002585172
5.92020885670517,6.212928795976371
5.020590111631112,5.327431322086933
3.9841585895709057,4.9446427526435555
5.12700440922223,5.09689084135989
4.871542470809807,4.604502211461146
5.131333742073721,5.052522668486888
5.819199641486677,7.197356191137243
4.981018057651214,5.64780375014037
6.869829378761986,7.135590114158949
5.770210613252267,5.93141769180131
4.1611347911989425,6.276483459578474
4.973289625662956,4.9732468909856555
5.493046274354329,5.452602566101509
4.894076423420309,5.002609129758044
4.604128029004864,5.114590716444046
4.995588163956465,6.042024887745658
7.301694363764781,7.547397899860169
6.072724055738358,5.478787107929673
4.944663163138206,5.403603193569144
5.456082289633908,8.951720028924456
5.393326683724264,6.041452795798834
5.268041678895995,5.984912399660725
5.43824414140731,6.219289837683167
5.544279094776529,5.650181441721333
5.772417994429786,6.726498631372243
4.162688664524175,4.658178999448168
6.05761249824645,6.761062039932095
5.8872986406525785,6.035199087854201
5.817823145493944,8.348248686136769
5.346298874314597,5.190422640701071
5.893047593937158,6.051393932830232
5.70470437009225,6.247694229667879
5.74220338930161,6.04621062313677
4.621891865841085,4.849569645797781
4.050952030903639,4.485232452583126
4.035892384903129,5.980003082008897
4.71093553806905,4.139991322941026
5.585908514221635,7.534945951292672
4.617026306582497,3.626973127387709
6.165701834966494,6.3108212085873125
5.129402145913026,5.556231470505499
5.412201824991004,5.16489978709856
5.818890438746575,5.413831553132594
5.506502963993863,5.484840468468734
6.8065680406909435,7.158303456386631
7.143698350372776,6.754854346171151
5.5626226552521745,6.068593878156557
4.84149481857554,4.438521556131644
2.870225169169046,4.05379502262267
6.887826049896541,7.580163749047962
5.669077788549813,6.43620506839315
6.495355382611865,7.141045632831205
6.662518973625935,7.102029305727021
5.71253321936464,6.930781206277489
4.656610300383266,4.898637273327703
4.059186826573083,5.5644332085411365
2.6058645137585397,4.15365193576161
4.882728527505913,7.4989924695646515
5.497578647254197,5.457632995009975
4.569016184406451,4.864747992456885
7.607076828435876,8.420990656664495
4.681618893165838,5.76143902901163
5.142542120437385,4.327507795452173
8.993638849069585,10.461529655568487
6.954136546757561,8.408181736452173
3.3141668963260664,4.493952173463027
5.009961869121713,5.250813413661025
5.30726670755079,6.525064663550067
3.507208324331771,4.2388331888329525
3.3201290971759057,5.610323099734118
4.27616268986285,4.147553125264271
4.568667871133647,4.022908861818161
5.3198423392546745,5.177192824017535
4.3735990441193575,4.804018688490879
4.362860707627016,5.3155683009932115
4.504413087907542,4.468148125591121
5.489168734473735,5.096194436989978
4.219297624814303,5.799864772853746
5.461322941523973,5.530783397780626
4.08404228718258,5.769951161332243
5.5791804613998774,5.974423525756421
6.230729139255382,6.3329101877726455
4.636184429177248,5.944228247830668
8.34611203588129,8.915262529479769
5.732790051991125,6.498832629375686
5.564734944923914,7.319837616904164
5.346226236962409,4.967056038364755
4.820861629518402,5.867641268309046
4.803176419537824,6.23909434625371
